epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,88.0739,0.5563,0.32058,0.85845,0.97921,0.94972,0.96965,0.73252,1.0354,0.43881,1.01018,0.000283085,0.000283085,0.000283085
83,89.148,0.54976,0.32232,0.85439,0.98441,0.94868,0.96965,0.72965,1.02239,0.42725,1.00418,0.000268938,0.000268938,0.000268938
84,90.2127,0.52778,0.30954,0.83761,0.97964,0.9534,0.96765,0.70232,1.03158,0.42815,1.00774,0.000254791,0.000254791,0.000254791
85,91.2356,0.52825,0.3108,0.83948,0.9802,0.95353,0.96667,0.71499,1.04345,0.4269,1.01465,0.000240644,0.000240644,0.000240644
86,92.2707,0.57734,0.32126,0.86027,0.97725,0.92963,0.9625,0.72372,1.02267,0.40716,1.00182,0.000226497,0.000226497,0.000226497
87,93.3405,0.52298,0.31533,0.8282,0.97627,0.92963,0.96285,0.72204,0.99988,0.4127,0.98834,0.000212349,0.000212349,0.000212349
88,94.4158,0.54982,0.31214,0.83686,0.98043,0.92963,0.96322,0.72851,1.02737,0.42908,0.99719,0.000198202,0.000198202,0.000198202
89,95.4606,0.53246,0.31188,0.83792,0.98278,0.92963,0.96285,0.71334,1.05194,0.43442,1.00906,0.000184055,0.000184055,0.000184055
90,96.5472,0.52097,0.31787,0.83313,0.98553,0.92963,0.96322,0.73369,1.02373,0.43091,0.99807,0.000169908,0.000169908,0.000169908
91,98.97,0.48585,0.29845,0.82792,0.98084,0.92963,0.96285,0.71506,1.0135,0.42366,0.99995,0.000155761,0.000155761,0.000155761
92,100.065,0.47179,0.29135,0.82083,0.97759,0.92963,0.96322,0.71905,0.99651,0.40343,1.00786,0.000141614,0.000141614,0.000141614
93,101.137,0.46137,0.29127,0.82083,0.97871,0.92963,0.96322,0.72342,0.98867,0.40578,1.01138,0.000127467,0.000127467,0.000127467
94,102.194,0.43153,0.27103,0.8272,0.9814,0.92963,0.96285,0.73637,0.99844,0.4158,1.01363,0.00011332,0.00011332,0.00011332
95,103.251,0.46752,0.28492,0.81612,0.97919,0.92963,0.9625,0.72022,1.00966,0.41583,1.01217,9.91726e-05,9.91726e-05,9.91726e-05
96,104.3,0.43731,0.27678,0.81253,0.98104,0.92963,0.96219,0.72224,1.00088,0.42555,1.00879,8.50255e-05,8.50255e-05,8.50255e-05
97,105.343,0.42722,0.28041,0.82057,0.98285,0.92963,0.96219,0.7155,1.0067,0.42377,1.012,7.08784e-05,7.08784e-05,7.08784e-05
98,106.391,0.43565,0.27338,0.82279,0.98467,0.92963,0.96219,0.71643,1.02827,0.42662,1.0245,5.67313e-05,5.67313e-05,5.67313e-05
99,107.445,0.44845,0.27369,0.82171,0.98573,0.92963,0.9625,0.7309,1.04052,0.42138,1.02952,4.25842e-05,4.25842e-05,4.25842e-05
100,108.499,0.41333,0.26907,0.80701,0.98639,0.92963,0.9625,0.73199,1.0407,0.41759,1.02683,2.84371e-05,2.84371e-05,2.84371e-05
